tanggal,result,as,kop,kepala,ekor
2006-07-05,6218,6,2,1,8
2006-07-06,5096,5,0,9,6
2006-07-07,9425,9,4,2,5
2006-07-08,2411,2,4,1,1
2006-07-09,0976,0,9,7,6
2006-07-10,4802,4,8,0,2
2006-07-11,6056,6,0,5,6
2006-07-12,1872,1,8,7,2
2006-07-13,5813,5,8,1,3
2006-07-14,0226,0,2,2,6
2006-07-15,7129,7,1,2,9
2006-07-16,2937,2,9,3,7
2006-07-17,9209,9,2,0,9
2006-07-18,6099,6,0,9,9
2006-07-19,7095,7,0,9,5
2006-07-20,2764,2,7,6,4
2006-07-21,3451,3,4,5,1
2006-07-22,5398,5,3,9,8
2006-07-23,4369,4,3,6,9
2006-07-24,7840,7,8,4,0
2006-07-25,0529,0,5,2,9
2006-07-26,1488,1,4,8,8
2006-07-27,9723,9,7,2,3
2006-07-28,1776,1,7,7,6
2006-07-29,5820,5,8,2,0
2006-07-30,3194,3,1,9,4
2006-07-31,8031,8,0,3,1
2006-08-01,3085,3,0,8,5
2006-08-02,2176,2,1,7,6
2006-08-03,9452,9,4,5,2
2006-08-04,7040,7,0,4,0
2006-08-05,1766,1,7,6,6
2006-08-06,6334,6,3,3,4
2006-08-07,9107,9,1,0,7
2006-08-08,2974,2,9,7,4
2006-08-09,5642,5,6,4,2
2006-08-10,0031,0,0,3,1
2006-08-11,8629,8,6,2,9
2006-08-12,5291,5,2,9,1
2006-08-13,1328,1,3,2,8
2006-08-14,5891,5,8,9,1
2006-08-15,2460,2,4,6,0
2006-08-16,6947,6,9,4,7
2006-08-17,7921,7,9,2,1
2006-08-18,6836,6,8,3,6
2006-08-19,9541,9,5,4,1
2006-08-20,1569,1,5,6,9
2006-08-21,2814,2,8,1,4
2006-08-22,5468,5,4,6,8
2006-08-23,7302,7,3,0,2
2006-08-24,8715,8,7,1,5
2006-08-25,9723,9,7,2,3
2006-08-26,2239,2,2,3,9
2006-08-27,6248,6,2,4,8
2006-08-28,1772,1,7,7,2
2006-08-29,3588,3,5,8,8
2006-08-30,8363,8,3,6,3
2006-08-31,4021,4,0,2,1
2006-09-01,2873,2,8,7,3
2006-09-02,1523,1,5,2,3
2006-09-03,5082,5,0,8,2
2006-09-04,8691,8,6,9,1
2006-09-05,3459,3,4,5,9
2006-09-06,4317,4,3,1,7
2006-09-07,0675,0,6,7,5
2006-09-08,8170,8,1,7,0
2006-09-09,5639,5,6,3,9
2006-09-10,9580,9,5,8,0
2006-09-11,1929,1,9,2,9
2006-09-12,1254,1,2,5,4
2006-09-13,6917,6,9,1,7
2006-09-14,4358,4,3,5,8
2006-09-15,2824,2,8,2,4
2006-09-16,5568,5,5,6,8
2006-09-17,9722,9,7,2,2
2006-09-18,2619,2,6,1,9
2006-09-19,3105,3,1,0,5
2006-09-20,0215,0,2,1,5
2006-09-21,3865,3,8,6,5
2006-09-22,1473,1,4,7,3
2006-09-23,4924,4,9,2,4
2006-09-24,1932,1,9,3,2
2006-09-25,7256,7,2,5,6
2006-09-26,3952,3,9,5,2
2006-09-27,3498,3,4,9,8
2006-09-28,5213,5,2,1,3
2006-09-29,6072,6,0,7,2
2006-09-30,5232,5,2,3,2
2006-10-01,0702,0,7,0,2
2006-10-02,3247,3,2,4,7
2006-10-03,2518,2,5,1,8
2006-10-04,9284,9,2,8,4
2006-10-05,2383,2,3,8,3
2006-10-06,2378,2,3,7,8
2006-10-07,3714,3,7,1,4
2006-10-08,7217,7,2,1,7
2006-10-09,7059,7,0,5,9
2006-10-10,2844,2,8,4,4
2006-10-11,1793,1,7,9,3
2006-10-12,8435,8,4,3,5
2006-10-13,0177,0,1,7,7
2006-10-14,6471,6,4,7,1
2006-10-15,3695,3,6,9,5
2006-10-16,5867,5,8,6,7
2006-10-17,2089,2,0,8,9
2006-10-18,9481,9,4,8,1
2006-10-19,0609,0,6,0,9
2006-10-20,7643,7,6,4,3
2006-10-21,1502,1,5,0,2
2006-10-22,7399,7,3,9,9
2006-10-23,3865,3,8,6,5
2006-10-24,8436,8,4,3,6
2006-10-25,0713,0,7,1,3
2006-10-26,9368,9,3,6,8
2006-10-27,7650,7,6,5,0
2006-10-28,5982,5,9,8,2
2006-10-29,8723,8,7,2,3
2006-10-30,3411,3,4,1,1
2006-10-31,9673,9,6,7,3
2006-11-01,7891,7,8,9,1
2006-11-02,9752,9,7,5,2
2006-11-03,5476,5,4,7,6
2006-11-04,6280,6,2,8,0
2006-11-05,3049,3,0,4,9
2006-11-06,8467,8,4,6,7
2006-11-07,4936,4,9,3,6
2006-11-08,2044,2,0,4,4
2006-11-09,1185,1,1,8,5
2006-11-10,0628,0,6,2,8
2006-11-11,1535,1,5,3,5
2006-11-12,7206,7,2,0,6
2006-11-13,6942,6,9,4,2
2006-11-14,5172,5,1,7,2
2006-11-15,7918,7,9,1,8
2006-11-16,4560,4,5,6,0
2006-11-17,3726,3,7,2,6
2006-11-18,8924,8,9,2,4
2006-11-19,6593,6,5,9,3
2006-11-20,9125,9,1,2,5
2006-11-21,4798,4,7,9,8
2006-11-22,2378,2,3,7,8
2006-11-23,6527,6,5,2,7
2006-11-24,4835,4,8,3,5
2006-11-25,0730,0,7,3,0
2006-11-26,2052,2,0,5,2
2006-11-27,3466,3,4,6,6
2006-11-28,1738,1,7,3,8
2006-11-29,5624,5,6,2,4
2006-11-30,4301,4,3,0,1
2006-12-01,3256,3,2,5,6
2006-12-02,2689,2,6,8,9
2006-12-03,6478,6,4,7,8
2006-12-04,5723,5,7,2,3
2006-12-05,8562,8,5,6,2
2006-12-06,2471,2,4,7,1
2006-12-07,0265,0,2,6,5
2006-12-08,1292,1,2,9,2
2006-12-09,3356,3,3,5,6
2006-12-10,7312,7,3,1,2
2006-12-11,2740,2,7,4,0
2006-12-12,8076,8,0,7,6
2006-12-13,4520,4,5,2,0
2006-12-14,6698,6,6,9,8
2006-12-15,4911,4,9,1,1
2006-12-16,8392,8,3,9,2
2006-12-17,3846,3,8,4,6
2006-12-18,2479,2,4,7,9
2006-12-19,4816,4,8,1,6
2006-12-20,7495,7,4,9,5
2006-12-21,0782,0,7,8,2
2006-12-22,1379,1,3,7,9
2006-12-23,6084,6,0,8,4
2006-12-24,1153,1,1,5,3
2006-12-25,9712,9,7,1,2
2006-12-26,4583,4,5,8,3
2006-12-27,4192,4,1,9,2
2006-12-28,4368,4,3,6,8
2006-12-29,8412,8,4,1,2
2006-12-30,9503,9,5,0,3
2006-12-31,3245,3,2,4,5
2007-01-01,4780,4,7,8,0
2007-01-02,4206,4,2,0,6
