tanggal,result,as,kop,kepala,ekor
2019-01-22,6069,6,0,6,9
2019-01-23,7778,7,7,7,8
2019-01-24,2511,2,5,1,1
2019-01-25,8260,8,2,6,0
2019-01-26,9105,9,1,0,5
2019-01-27,4525,4,5,2,5
2019-01-28,6919,6,9,1,9
2019-01-29,8214,8,2,1,4
2019-01-30,0385,0,3,8,5
2019-01-31,9996,9,9,9,6
2019-02-01,3693,3,6,9,3
2019-02-02,3642,3,6,4,2
2019-02-03,9698,9,6,9,8
2019-02-04,2783,2,7,8,3
2019-02-05,3420,3,4,2,0
2019-02-06,3534,3,5,3,4
2019-02-07,3747,3,7,4,7
2019-02-08,7669,7,6,6,9
2019-02-09,4656,4,6,5,6
2019-02-10,6385,6,3,8,5
2019-02-11,8059,8,0,5,9
2019-02-12,3223,3,2,2,3
2019-02-13,2452,2,4,5,2
2019-02-14,3431,3,4,3,1
2019-02-15,8114,8,1,1,4
2019-02-16,8635,8,6,3,5
2019-02-17,6081,6,0,8,1
2019-02-18,2170,2,1,7,0
2019-02-19,2042,2,0,4,2
2019-02-20,0322,0,3,2,2
2019-02-21,8346,8,3,4,6
2019-02-22,0092,0,0,9,2
2019-02-23,5269,5,2,6,9
2019-02-24,7009,7,0,0,9
2019-02-25,1668,1,6,6,8
2019-02-26,4099,4,0,9,9
2019-02-27,7735,7,7,3,5
2019-02-28,6344,6,3,4,4
2019-03-01,3283,3,2,8,3
2019-03-02,7361,7,3,6,1
2019-03-03,9970,9,9,7,0
2019-03-04,3840,3,8,4,0
2019-03-05,9074,9,0,7,4
2019-03-06,3071,3,0,7,1
2019-03-07,4506,4,5,0,6
2019-03-08,2624,2,6,2,4
2019-03-09,9241,9,2,4,1
2019-03-10,0565,0,5,6,5
2019-03-11,5387,5,3,8,7
2019-03-12,0353,0,3,5,3
2019-03-13,4545,4,5,4,5
2019-03-14,9931,9,9,3,1
2019-03-15,0420,0,4,2,0
2019-03-16,4172,4,1,7,2
2019-03-17,7153,7,1,5,3
2019-03-18,0720,0,7,2,0
2019-03-19,6434,6,4,3,4
2019-03-20,5429,5,4,2,9
2019-03-21,8153,8,1,5,3
2019-03-22,8584,8,5,8,4
2019-03-23,4976,4,9,7,6
2019-03-24,9957,9,9,5,7
2019-03-25,5951,5,9,5,1
2019-03-26,3474,3,4,7,4
2019-03-27,1422,1,4,2,2
2019-03-28,6131,6,1,3,1
2019-03-29,7151,7,1,5,1
2019-03-30,4634,4,6,3,4
2019-03-31,7682,7,6,8,2
2019-04-01,4581,4,5,8,1
2019-04-02,7504,7,5,0,4
2019-04-03,5493,5,4,9,3
2019-04-04,5532,5,5,3,2
2019-04-05,9513,9,5,1,3
2019-04-06,5535,5,5,3,5
2019-04-07,6894,6,8,9,4
2019-04-08,4573,4,5,7,3
2019-04-09,7674,7,6,7,4
2019-04-10,4408,4,4,0,8
2019-04-11,0643,0,6,4,3
2019-04-12,1900,1,9,0,0
2019-04-13,2352,2,3,5,2
2019-04-14,5159,5,1,5,9
2019-04-15,7879,7,8,7,9
2019-04-16,4180,4,1,8,0
2019-04-17,1453,1,4,5,3
2019-04-18,3197,3,1,9,7
2019-04-19,5327,5,3,2,7
2019-04-20,4230,4,2,3,0
2019-04-21,1147,1,1,4,7
2019-04-22,2908,2,9,0,8
2019-04-23,1325,1,3,2,5
2019-04-24,7311,7,3,1,1
2019-04-25,9454,9,4,5,4
2019-04-26,9571,9,5,7,1
2019-04-27,3015,3,0,1,5
2019-04-28,5984,5,9,8,4
2019-04-29,2517,2,5,1,7
2019-04-30,7496,7,4,9,6
2019-05-01,6632,6,6,3,2
2019-05-02,9118,9,1,1,8
2019-05-03,2238,2,2,3,8
2019-05-04,4434,4,4,3,4
2019-05-05,4247,4,2,4,7
2019-05-06,1777,1,7,7,7
2019-05-07,0240,0,2,4,0
2019-05-08,3912,3,9,1,2
2019-05-09,9810,9,8,1,0
2019-05-10,8767,8,7,6,7
2019-05-11,7768,7,7,6,8
2019-05-12,6324,6,3,2,4
2019-05-13,8207,8,2,0,7
2019-05-14,8583,8,5,8,3
2019-05-15,4638,4,6,3,8
2019-05-16,9401,9,4,0,1
2019-05-17,1859,1,8,5,9
2019-05-18,9999,9,9,9,9
2019-05-19,7716,7,7,1,6
2019-05-20,8598,8,5,9,8
2019-05-21,1372,1,3,7,2
2019-05-22,0784,0,7,8,4
2019-05-23,3950,3,9,5,0
2019-05-24,3451,3,4,5,1
2019-05-25,7141,7,1,4,1
2019-05-26,1424,1,4,2,4
2019-05-27,2605,2,6,0,5
2019-05-28,3676,3,6,7,6
2019-05-29,9698,9,6,9,8
2019-05-30,0536,0,5,3,6
2019-05-31,0567,0,5,6,7
2019-06-01,6789,6,7,8,9
2019-06-02,2098,2,0,9,8
2019-06-03,6593,6,5,9,3
2019-06-04,6972,6,9,7,2
2019-06-05,2438,2,4,3,8
2019-06-06,6701,6,7,0,1
2019-06-07,3995,3,9,9,5
2019-06-08,4510,4,5,1,0
2019-06-09,4214,4,2,1,4
2019-06-10,6076,6,0,7,6
2019-06-11,0508,0,5,0,8
2019-06-12,6077,6,0,7,7
2019-06-13,5235,5,2,3,5
2019-06-14,6504,6,5,0,4
2019-06-15,8095,8,0,9,5
2019-06-16,9379,9,3,7,9
2019-06-17,0819,0,8,1,9
2019-06-18,2769,2,7,6,9
2019-06-19,4632,4,6,3,2
2019-06-20,6658,6,6,5,8
2019-06-21,8309,8,3,0,9
2019-06-22,7560,7,5,6,0
2019-06-23,3530,3,5,3,0
2019-06-24,9577,9,5,7,7
2019-06-25,0831,0,8,3,1
2019-06-26,8308,8,3,0,8
2019-06-27,5646,5,6,4,6
2019-06-28,7372,7,3,7,2
2019-06-29,4892,4,8,9,2
2019-06-30,8075,8,0,7,5
2019-07-01,3132,3,1,3,2
2019-07-02,0060,0,0,6,0
2019-07-03,9592,9,5,9,2
2019-07-04,5383,5,3,8,3
2019-07-05,1888,1,8,8,8
2019-07-06,8061,8,0,6,1
2019-07-07,3585,3,5,8,5
2019-07-08,7082,7,0,8,2
2019-07-09,8218,8,2,1,8
2019-07-10,4217,4,2,1,7
2019-07-11,8305,8,3,0,5
2019-07-12,9982,9,9,8,2
2019-07-13,6102,6,1,0,2
2019-07-14,8937,8,9,3,7
2019-07-15,3767,3,7,6,7
2019-07-16,8404,8,4,0,4
2019-07-17,1569,1,5,6,9
2019-07-18,8716,8,7,1,6
2019-07-19,4929,4,9,2,9
2019-07-20,2141,2,1,4,1
